"","scr_inner_iterations[[""Control""]][[""gamma""]]"
"ASV_1231",0
"ASV_1232",0
"ASV_1233",0
"ASV_1234",0
"ASV_1235",0.00017451994362674
"ASV_1236",0
"ASV_1237",0
"ASV_1238",0
"ASV_1239",0
"ASV_1240",0
"ASV_1241",0
"ASV_1242",0
"ASV_1243",0.000338758630497657
"ASV_1244",0
"ASV_1245",0
"ASV_1246",0
"ASV_1247",0
"ASV_1248",0
"ASV_1249",0
"ASV_1250",4.59361484731716e-05
"ASV_1251",0
"ASV_1252",0
"ASV_1253",0
"ASV_1254",0
"ASV_1255",0
"ASV_1256",0
"ASV_1257",0
"ASV_1258",0
"ASV_1259",0
"ASV_1260",0
"ASV_1261",0
"ASV_1262",0
"ASV_1263",0
"ASV_1264",0
"ASV_1265",0
"ASV_1266",0
"ASV_1267",0
"ASV_1268",0
"ASV_1269",0
"ASV_1270",0
"ASV_1271",0
"ASV_1272",8.62465519319455e-05
"ASV_1273",0
"ASV_1274",0
"ASV_1275",0
"ASV_1276",0
"ASV_1277",0
"ASV_1278",0
"ASV_1279",6.57896681820137e-05
"ASV_1280",0
"ASV_1281",0
"ASV_1282",0
"ASV_1283",0
"ASV_1284",0
"ASV_1285",0
"ASV_1286",0
"ASV_1287",0
"ASV_1288",0
"ASV_1289",0
"ASV_1290",0
"ASV_1291",0
"ASV_1292",0
"ASV_1293",0
"ASV_1294",0
"ASV_1295",0
"ASV_1296",0
"ASV_1297",0
"ASV_1298",0
"ASV_1299",0
"ASV_1300",0
"ASV_1301",0
"ASV_1302",4.41205806668513e-05
"ASV_1303",0
"ASV_1304",0
"ASV_1305",0
"ASV_1306",0
"ASV_1307",0
"ASV_1308",0
"ASV_1309",0
"ASV_1310",0
"ASV_1311",0
"ASV_1312",0
"ASV_1313",0
"ASV_1314",0
"ASV_1315",0
"ASV_1316",0
"ASV_1317",0
"ASV_1318",0
"ASV_1319",0
"ASV_1320",0
"ASV_1321",0
"ASV_1322",0
"ASV_1323",0
"ASV_1324",0
"ASV_1325",0
"ASV_1326",0
"ASV_1327",0
